,predicted_mean
2024-12-31,251.67868448218974
2025-01-01,251.7250171995054
2025-01-02,251.75009399296857
2025-01-03,251.76366637997342
2025-01-06,251.77101220308592
2025-01-07,251.77498800462922
2025-01-08,251.77713983944332
2025-01-09,251.77830448335644
2025-01-10,251.778934827022
2025-01-13,251.77927598978619
2025-01-14,251.77946063831686
2025-01-15,251.77956057618658
2025-01-16,251.77961466585504
2025-01-17,251.77964394096608
2025-01-20,251.7796597856209
2025-01-21,251.77966836127024
2025-01-22,251.77967300269427
2025-01-23,251.7796755147859
2025-01-24,251.77967687441267
2025-01-27,251.77967761028748
2025-01-28,251.77967800856717
2025-01-29,251.77967822412927
2025-01-30,251.77967834079857
2025-01-31,251.77967840394385
2025-02-03,251.77967843812016
2025-02-04,251.7796784566175
2025-02-05,251.77967846662887
2025-02-06,251.77967847204735
2025-02-07,251.77967847498002
2025-02-10,251.77967847656728
