Date,Forecast
2025-05-07,202.48466
2025-05-08,202.48737
2025-05-09,202.49205
2025-05-12,202.4842
2025-05-13,202.79483
2025-05-14,202.81985
2025-05-15,202.92451
2025-05-16,202.91475
2025-05-19,202.91599
2025-05-20,202.80984
2025-05-21,202.77739
2025-05-22,202.65253
2025-05-23,202.57892
2025-05-26,202.42223
2025-05-27,202.44492
2025-05-28,202.47871
2025-05-29,202.5109
2025-05-30,202.56773
2025-06-02,202.56143
2025-06-03,202.45288
2025-06-04,202.44691
2025-06-05,202.56015
2025-06-06,202.5757
2025-06-09,202.58197
2025-06-10,202.59361
2025-06-11,202.56758
2025-06-12,202.57533
2025-06-13,202.55447
2025-06-16,202.53589
2025-06-17,202.47675
