Date,Forecast
2025-05-07,456.98615
2025-05-08,456.88287
2025-05-09,456.9531
2025-05-12,457.0242
2025-05-13,457.28552
2025-05-14,457.6097
2025-05-15,457.7265
2025-05-16,457.7966
2025-05-19,457.86057
2025-05-20,457.82254
2025-05-21,457.8983
2025-05-22,457.99908
2025-05-23,458.0124
2025-05-26,457.88992
2025-05-27,457.87192
2025-05-28,458.02332
2025-05-29,458.19183
2025-05-30,458.25705
2025-06-02,458.2511
2025-06-03,458.148
2025-06-04,458.1727
2025-06-05,458.28195
2025-06-06,458.37378
2025-06-09,458.4879
2025-06-10,458.61142
2025-06-11,458.63882
2025-06-12,458.6351
2025-06-13,458.8058
2025-06-16,458.9052
2025-06-17,458.9583
