Date,Forecast
2025-05-07,23.32491
2025-05-08,23.304861
2025-05-09,23.29948
2025-05-12,23.29486
2025-05-13,23.300707
2025-05-14,23.293303
2025-05-15,23.29679
2025-05-16,23.292723
2025-05-19,23.298798
2025-05-20,23.303286
2025-05-21,23.30797
2025-05-22,23.322487
2025-05-23,23.309093
2025-05-26,23.31058
2025-05-27,23.329
2025-05-28,23.340788
2025-05-29,23.341063
2025-05-30,23.316208
2025-06-02,23.327215
2025-06-03,23.326288
2025-06-04,23.313944
2025-06-05,23.320803
2025-06-06,23.318748
2025-06-09,23.331944
2025-06-10,23.332285
2025-06-11,23.366707
2025-06-12,23.380627
2025-06-13,23.384924
2025-06-16,23.388441
2025-06-17,23.38359
